,Dovesky,jackson,Satoshi,Han
0,"[-1.568953037261963, 'Russian']","[-1.6243231296539307, 'Russian']","[-1.2952722311019897, 'Italian']","[-0.9774609208106995, 'Chinese']"
1,"[-1.6540436744689941, 'Polish']","[-1.7292835712432861, 'Scottish']","[-1.7971352338790894, 'Japanese']","[-1.108264446258545, 'Korean']"
2,"[-2.5359740257263184, 'Scottish']","[-2.072171211242676, 'Irish']","[-1.9030698537826538, 'Polish']","[-1.565474033355713, 'Vietnamese']"
